division_code,district_code,upazila_code,union_code,union_name,union_name_bangla,created_by
30,56,70,6,HORAGOJ,HORAGOJ,admin
55,32,24,58,KHOLAHATI,KHOLAHATI,admin
45,61,52,29,VABKHALI,VABKHALI,admin
30,56,70,5,TILLI,TILLI,admin
55,32,24,65,KUPTOLA,KUPTOLA,admin
30,48,79,85,PATUABANGA,PATUABANGA,admin
55,32,24,14,BOLLOMJHAR,BOLLOMJHAR,admin
50,10,67,31,BUROIL,BUROIL,admin
30,56,70,9,FAKURHATI,FAKURHATI,admin
30,48,79,66,NARANDI,NARANDI,admin
55,32,24,87,RAMCHNDRAPUR,RAMCHNDRAPUR,admin
50,10,67,21,BHATRA,BHATRA,admin
30,48,79,57,JANGALIA,JANGALIA,admin
20,12,85,47,LAOURFATAPUR,LAOURFATAPUR,admin
45,72,74,13,AMTOLA,AMTOLA,admin
30,48,79,28,CHARFARADI,CHARFARADI,admin
45,72,74,54,MODANPUR,MODANPUR,admin
50,10,67,84,THALTA MAJHGRAM,THALTA MAJHGRAM,admin
55,32,67,47,KISHORGARI,KISHORGARI,admin
30,48,11,21,AGANGAR,AGANGAR,admin
50,81,12,75,MARIA,MARIA,admin
50,81,34,28,DEYOAPARA,DEYOAPARA,admin
45,72,83,31,DHALAMULGAON,DHALAMULGAON,admin
45,72,9,47,CHERAM,CHERAM,admin
30,48,76,76,NIKLI SADAR,NIKLI SADAR,admin
55,73,15,95,SONARAY,SONARAY,admin
20,19,31,47,JAGANNATH DIGHI,JAGANNATH DIGHI,admin
20,19,31,10,ALKORA,ALKORA,admin
50,88,78,17,BOHULLI,BOHULLI,admin
20,75,36,76,SONADIA,SONADIA,admin
50,88,78,94,CHHANGACHHA,CHHANGACHHA,admin
